idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
104,Abdominal hernia,"['Sharp abdominal pain', 'Groin mass', 'Ache all over', 'Upper abdominal pain', 'Groin pain', 'Lower abdominal pain', 'Irregular belly button', 'Swollen abdomen', 'Regurgitation', 'Infant spitting up', 'Swelling of scrotum', 'Symptoms of the scrotum and testes']","A hernia is the protrusion of an organ or the fascia of an organ through the wall of the cavity that normally contains it. There are different kinds of hernia, each requiring a specific management or treatment. ","['Complete physical skin exam performed (ML)', 'X-ray computed tomography (Scan ct)', 'Wound care management', 'Other hernia repair', 'Pelvis exam', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel']","['Neostigmine', 'Desflurane', 'Rocuronium', 'Arnica Topical', 'Ephedrine (Kie)', 'Methylene Blue', 'Lyme Disease Vaccine', 'Aminosalicylic Acid', 'Acetohydroxamic Acid', 'Fluoride Topical', 'Triprolidine (Actifed)']",disease
105,Cerebral palsy,"['Seizures', 'Problems with movement', 'Cramps and spasms', 'Difficulty eating', 'Lack of growth', 'Leg cramps or spasms', 'Back cramps or spasms', 'Blindness', 'Infant feeding problem', 'Swollen tongue', 'Lip sore', 'Tongue lesions']","Cerebral palsy (CP) is an umbrella term denoting a group of non-progressive, non-contagious motor conditions that cause physical disability in human development, chiefly in the various areas of body movement. Scientific consensus still holds that CP is neither genetic nor a \'disease\', and it is also understood that the vast majority of cases are congenital, coming at or about the time of birth, and/or are diagnosed at a very young age rather than during adolescence or adulthood. ","['Physical therapy exercises (Exercises)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Occupational therapy assessment (Speech therapy)', 'Injections and aspirations of muscles; tendons; bursa; joints and soft tissue', 'Other therapeutic procedures', 'Magnetic resonance imaging (Mri)', 'Electroencephalogram (EEG) (Eeg)']","['Baclofen', 'Levetiracetam (Keppra)', 'Botulinum Toxin Type A (Botox)', 'Topiramate (Topamax)', 'Carbamazepine', 'Phenobarbital', 'Polyethylene Glycol 3350 (Miralax)', 'Glycopyrrolate', 'Oxcarbazepine (Trileptal)', 'Budesonide', 'Zonisamide', 'Tizanidine']",disease
106,Marijuana abuse,"['Drug abuse', 'Abusing alcohol', 'Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Delusions or hallucinations', 'Excessive anger', 'Temper problems', 'Fears and phobias', 'Low self-esteem', 'Difficulty speaking']",Cannabis dependence is a condition defined in DSM-IV applying the general concept of substance dependence to cannabis. ,"['Mental health counseling', 'Psychotherapy', 'Urinalysis', 'Psychological and psychiatric evaluation and therapy', 'Toxicology screen', 'Blood alcohol', 'Microscopic examination (bacterial smear; culture; toxicology)']","['Mirtazapine', 'Fluphenazine (Prolixin)', 'Levocarnitine', 'Naltrexone', 'Acamprosate (Campral)', 'Tiagabine (Gabitril)', 'Asenapine (Saphris)', 'Reserpine (Hhr)', 'Amphetamine (Adderall)', 'Pentazocine (Talwin)']",disease
107,Cryptococcosis,"['Lip swelling', 'Fainting', 'Seizures', 'Depressive or psychotic symptoms', 'Shoulder swelling', 'Nailbiting', 'Eye strain', 'Cross-eyed', 'Vulvar sore', 'Hip stiffness or tightness', 'Itchy eyelid', 'Wrist weakness']","Cryptococcosis, or cryptococcal disease, is a potentially fatal fungal disease. It is caused by one of two species; Cryptococcus neoformans and Cryptococcus gattii. These were all previously thought to be subspecies of C. neoformans, but have now been identified as distinct species. ","['Glucose measurement (Glucose level)', 'Hematologic tests (Blood test)', 'Ophthalmic examination and evaluation (Eye exam)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Lipid panel', 'Corneal transplant']","['Amphotericin B', 'Ocular Lubricant', 'Dapsone', 'Sodium Bicarbonate', 'Influenza Virus Vaccine, H1N1, Inactivated', 'Fluconazole (Diflucan)', 'Phenytoin (Dilantin)', 'Ranitidine', 'Amlodipine', 'Air', 'Mecamylamine']",disease
108,Obesity,"['Weight gain', 'Abnormal breathing sounds', 'Sleepiness', 'Apnea', 'Excessive appetite']","Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health, leading to reduced life expectancy and/or increased health problems. People are considered obese when their body mass index (BMI), a measurement obtained by dividing a person\'s weight in kilograms by the square of the person\'s height in metres, exceeds 30 kg/m2. ","['Hematologic tests (Blood test)', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Complete physical skin exam performed (ML)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Pelvis exam', 'Examination of breast']","['Phentermine', 'Ursodiol (Urso)', 'Phendimetrazine', 'Orlistat (Alli)', 'Sibutramine (Meridia)', 'Diethylpropion (Tenuate)', 'Panitumumab', 'Milrinone', 'Valerian Root Extract', 'Inulin', 'Trientine']",disease
109,Indigestion,"['Sharp abdominal pain', 'Burning abdominal pain', 'Nausea', 'Upper abdominal pain', 'Heartburn', 'Vomiting', 'Sharp chest pain', 'Diarrhea', 'Constipation', 'Regurgitation', 'Stomach bloating', 'Decreased appetite']","Dyspepsia (from the Greek \xce\xb4\xcf\x85\xcf\x83- dys- and \xcf\x80\xce\xad\xcf\x88\xce\xb9\xcf\x82 pepsis ""digestion""), also known as indigestion, is a condition of impaired digestion. It is a medical condition characterized by chronic or recurrent pain in the upper abdomen, upper abdominal fullness and feeling full earlier than expected when eating. It can be accompanied by bloating, belching, nausea, or heartburn. Dyspepsia is a common problem and is frequently caused by gastroesophageal reflux disease (GERD) or gastritis. In a small minority it may be the first symptom of peptic ulcer disease (an ulcer of the stomach or duodenum) and occasionally cancer. Hence, unexplained newly onset dyspepsia in people over 55 or the presence of other alarming symptoms may require further investigations. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Electrocardiogram']","['Esomeprazole (Nexium)', 'Sucralfate (Carafate)', 'Hyoscyamine (A-Spas)', 'Simethicone (Degas)', 'Bismuth Subsalicylate (Pepto-Bismol)']",symptom
110,Bursitis,"['Shoulder pain', 'Knee pain', 'Elbow pain', 'Arm pain', 'Elbow swelling', 'Leg pain', 'Hip pain', 'Knee swelling', 'Shoulder stiffness or tightness', 'Leg swelling', 'Arm stiffness or tightness', 'Arm swelling']","Bursitis is the inflammation of one or more bursae (small sacs) of synovial fluid in the body. The bursae rest at the points where internal functionaries, such as muscles and tendons, slide across bone. Healthy bursae create a smooth, almost frictionless functional gliding surface making normal movement painless. When bursitis occurs, however, movement relying upon the inflamed bursa becomes difficult and painful. Moreover, movement of tendons and muscles over the inflamed bursa aggravates its inflammation, perpetuating the problem. Muscle can also be stiffened. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Application of splint (Splinting)', 'Other therapeutic procedures', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Triamcinolone Topical Product', 'Bupivacaine', 'Cortisone', 'Dicloxacillin', 'Salmeterol', 'Trolamine Salicylate Topical', 'Capsaicin Topical', 'Chlorzoxazone', 'Oxaprozin', 'Clidinium (Librax)']",symptom
111,Esophageal cancer,"['Fatigue', 'Ache all over', 'Weakness', 'Sharp abdominal pain', 'Vomiting', 'Shortness of breath', 'Difficulty in swallowing', 'Decreased appetite', 'Hoarse voice', 'Mouth pain', 'Changes in stool appearance', 'Stomach bloating']","Esophageal cancer (or oesophageal cancer) is malignancy of the esophagus. There are various subtypes, primarily squamous cell cancer (approx 90\xe2\x80\x9395% of all esophageal cancer worldwide) and adenocarcinoma (approx. 50\xe2\x80\x9380% of all esophageal cancer in the United States). Squamous cell cancer arises from the cells that line the upper part of the esophagus. Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Glucose measurement (Glucose level)', 'X-ray computed tomography (Scan ct)', 'Electrolytes panel', 'Complete physical skin exam performed (ML)']","['Metoclopramide', 'Cisplatin', 'Prochlorperazine (Compro)', 'Dexamethasone Topical Product', 'Fluorouracil', 'Aprepitant (Emend)', 'Dexamethasone', 'Heparin', 'Paclitaxel (Taxol)', 'Sucralfate (Carafate)', 'Sennosides, Usp (Perdiem)', 'Mirtazapine']",disease
112,Pulmonary congestion,"['Shortness of breath', 'Sharp chest pain', 'Cough', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Chest tightness', 'Congestion in chest', 'Weakness', 'Fluid retention', 'Leg swelling', 'Decreased heart rate']","Pulmonary edema (American English), or oedema (British English; both words from the Greek \xce\xbf\xe1\xbc\xb4\xce\xb4\xce\xb7\xce\xbc\xce\xb1), is fluid accumulation in the air spaces and parenchyma of the lungs. It leads to impaired gas exchange and may cause respiratory failure. It is due to either failure of the left ventricle of the heart to adequately remove blood from the pulmonary circulation (""cardiogenic pulmonary edema""), or an injury to the lung parenchyma or vasculature of the lung (""noncardiogenic pulmonary edema""). Treatment is focused on three aspects: firstly improving respiratory function, secondly, treating the underlying cause, and thirdly avoiding further damage to the lung. Pulmonary edema, especially in the acute setting, can lead to respiratory failure, cardiac arrest due to hypoxia, and death. ","['Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Plain x-ray (X ray)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Furosemide', 'Nitroglycerin', 'Ipratropium', 'Hydralazine', 'Labetalol', 'Oxygen', 'Naloxone (Suboxone)', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Bortezomib (Velcade)', 'Metolazone', 'Creatine']",disease
113,Juvenile rheumatoid arthritis,"['Knee pain', 'Joint pain', 'Back pain', 'Ankle pain', 'Hand or finger pain', 'Hand or finger swelling', 'Problems with movement', 'Bones are painful', 'Wrist swelling', 'Ankle swelling', 'Pelvic pain', 'Knee swelling']","Juvenile idiopathic arthritis (JIA), also known as juvenile rheumatoid arthritis (JRA), is the most common form of arthritis in children and adolescents. (Juvenile in this context refers to an onset before age 16, idiopathic refers to a condition with no defined cause, and arthritis is the inflammation of the synovium of a joint.) ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Physical therapy exercises (Exercises)', 'Occupational therapy assessment (Speech therapy)', 'Referral to home health care service']","['Methotrexate', 'Naproxen', 'Folic Acid', 'Etanercept (Enbrel)', 'Celecoxib (Celebrex)', 'Adalimumab (Humira)', 'Hydroxychloroquine (Plaquenil)', 'Anakinra (Kineret)', 'Infliximab (Remicade)', 'Prednisolone Ophthalmic', 'Diclofenac', 'Leflunomide (Arava)']",disease
114,Actinic keratosis,"['Abnormal appearing skin', 'Skin lesion', 'Skin dryness, peeling, scaliness, or roughness', 'Skin growth', 'Skin rash', 'Irregular appearing scalp', 'Skin moles', 'Skin swelling', 'Itching of skin', 'Skin irritation', 'Warts', 'Symptoms of the face']","Actinic keratosis (also called ""solar keratosis"" and ""senile keratosis"") is a premalignant condition of thick, scaly, or crusty patches of skin.:719 It is more common in fair-skinned people and it is associated with those who are frequently exposed to the sun, as it is usually accompanied by solar damage. They are considered as potentially pre-cancerous, since some of them progress to squamous cell carcinoma, so treatment is recommended. Untreated lesions have up to 20 % risk of progression to squamous cell carcinoma. ","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Excision of skin lesion', 'Biopsy', 'Wound care management', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Other therapeutic procedures']","['Fluorouracil', 'Fluorouracil Topical', 'Imiquimod Topical', 'Tretinoin Topical', 'Metronidazole Topical Product', 'Ketoconazole', 'Clobetasol Topical', 'Fluocinonide Topical', 'Desoximetasone Topical', 'Desonide Topical', 'Aminolevulinic Acid Topical']",disease
115,Acute otitis media,"['Ear pain', 'Fever', 'Cough', 'Nasal congestion', 'Redness in ear', 'Fluid in ear', 'Sore throat', 'Coryza', 'Pulling at ears', 'Vomiting', 'Diminished hearing', 'Plugged feeling in ear']","Otitis media (Latin for ""inflammation of the middle ear"") is the medical term for middle ear infection. Although several subtypes of otitis media are distinguished, the term is often used synonymously with acute otitis media. It is very common in childhood. ","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Ophthalmologic and otologic diagnosis and treatment', 'Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic ear procedures', 'Other respiratory therapy', 'Tracheoscopy and laryngoscopy with biopsy']","['Amoxicillin', 'Augmentin', 'Cefdinir', 'Ofloxacin', 'Prednisolone-Sodium Sulfacetamide Ophthalmic', 'Cefprozil', 'Benzylpenicilloyl Polylysine (Pre-Pen)', 'Cefixime (Suprax)', 'Benzocaine Topical']",disease
116,Astigmatism,"['Diminished vision', 'Symptoms of eye', 'Lacrimation', 'Spots or clouds in vision', 'Eye redness', 'Itchiness of eye', 'Pain in eye', 'Foreign body sensation in eye', 'Eye deviation', 'Eye moves abnormally', 'Cross-eyed', 'Double vision']","An optical system with astigmatism is one where rays that propagate in two perpendicular planes have different foci. If an optical system with astigmatism is used to form an image of a cross, the vertical and horizontal lines will be in sharp focus at two different distances. The term comes from the Greek \xce\xb1- (a-) meaning ""without"" and \xcf\x83\xcf\x84\xce\xaf\xce\xb3\xce\xbc\xce\xb1 (stigma), ""a mark, spot, puncture"". ","['Ophthalmologic and otologic diagnosis and treatment', 'Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Other extraocular muscle and orbit therapeutic procedures', 'Other intraocular therapeutic procedures', 'Other diagnostic radiology and related techniques']","['Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Timolol', 'Prednisolone Ophthalmic', 'Cyclopentolate Ophthalmic', 'Proparacaine Ophthalmic', 'Atropine (Uaa)', 'Nepafenac Ophthalmic', 'Erythromycin Ophthalmic', 'Tetrahydrozoline Ophthalmic', 'Cyclosporine Ophthalmic', 'Sodium Chloride, Hypertonic, Ophthalmic']",disease
117,Tuberous sclerosis,"['Seizures', 'Cramps and spasms', 'Delusions or hallucinations', 'Symptoms of the kidneys', 'Shoulder pain', 'Depressive or psychotic symptoms', 'Difficulty speaking', 'Elbow weakness', 'Underweight', 'Excessive growth', 'Low back weakness', 'Feeling hot and cold']","Tuberous sclerosis or tuberous sclerosis complex (TSC) is a rare multi-system genetic disease that causes non-malignant tumors to grow in the brain and on other vital organs such as the kidneys, heart, eyes, lungs, and skin. A combination of symptoms may include seizures, developmental delay, behavioral problems, skin abnormalities, lung and kidney disease. TSC is caused by a mutation of either of two genes, TSC1 and TSC2, which code for the proteins hamartin and tuberin respectively. These proteins act as tumor growth suppressors, agents that regulate cell proliferation and differentiation. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Magnetic resonance imaging (Mri)', 'Psychotherapy', 'Electroencephalogram (EEG) (Eeg)', 'Echocardiography', 'Arterial blood gases (ABGs)']","['Topiramate (Topamax)', 'Oxcarbazepine (Trileptal)', 'Carbamazepine', 'Levetiracetam (Keppra)', 'Divalproex Sodium (Depakote)', 'Clonazepam', 'Vigabatrin', 'Clozapine', 'Baclofen', 'Lithium (Li)', 'Fenofibrate (Tricor)', 'Aripiprazole (Abilify)']",disease
118,Empyema,"['Cough', 'Shortness of breath', 'Hurts to breath', 'Back pain', 'Sharp chest pain', 'Coryza', 'Skin rash', 'Leg pain', 'Skin lesion', 'Sharp abdominal pain', 'Difficulty breathing', 'Abnormal appearing skin']","An empyema (from Greek: \xe1\xbc\x90\xce\xbc\xcf\x80\xcf\x8d\xce\xb7\xce\xbc\xce\xb1) is a collection of pus within a naturally existing anatomical cavity, such as the lung pleura. It must be differentiated from an abscess, which is a collection of pus in a newly formed cavity. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Cardiac enzymes measurement (Cardiac enzymes test)', 'Kidney function tests (Kidney function test)']","['Bactrim', 'Docusate (Colace)', 'Clonidine', 'Aminophylline', 'Ceftazidime', 'Collagenase Topical', 'Zosyn', 'Terazosin', 'Erythromycin', 'Budesonide', 'Levalbuterol (Xopenex)', 'Cefazolin']",disease
119,Presbyacusis,"['Diminished hearing', 'Dizziness', 'Ringing in ear', 'Ear pain', 'Neck stiffness or tightness', 'Elbow weakness', 'Excessive growth', 'Feeling hot and cold', 'Wrist weakness', 'Low back weakness', 'Emotional symptoms', 'Elbow cramps or spasms']","Presbycusis (also spelt presbyacusis, from Greek presbys \xe2\x80\x9celder\xe2\x80\x9d + akousis \xe2\x80\x9chearing\xe2\x80\x9d), or age-related hearing loss, is the cumulative effect of aging on hearing. It is a progressive bilateral symmetrical age-related sensorineural hearing loss. The hearing loss is most marked at higher frequencies. Hearing loss that accumulates with age but is caused by factors other than normal aging is not presbycusis, although differentiating the individual effects of multiple causes of hearing loss can be difficult. ","['Ophthalmologic and otologic diagnosis and treatment', 'Diagnostic procedures on nose; mouth and pharynx', 'Other therapeutic ear procedures', 'Biopsy', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy']","['Ibandronate (Boniva)', 'Potassium Chloride', 'Lovastatin', 'Celecoxib (Celebrex)', 'Mometasone Nasal Product', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)']",disease
120,Neonatal jaundice,"['Jaundice', 'Infant feeding problem', 'Irritable infant', 'Changes in stool appearance', 'Irregular belly button', 'Fluid in ear', 'Recent weight loss', 'Drainage in throat', 'Infant spitting up', 'Lack of growth', 'Irregular appearing scalp', 'Flatulence']","Neonatal jaundice or Neonatal hyperbilirubinemia, or Neonatal icterus (from the Greek word \xce\xaf\xce\xba\xcf\x84\xce\xb5\xcf\x81\xce\xbf\xcf\x82), attributive adjective: icteric, is a yellowing of the skin and other tissues of a newborn infant. A bilirubin level of more than 85 umol/l (5 mg/dL) manifests clinical jaundice in neonates whereas in adults a level of 34 umol/l (2 mg/dL) would look icteric. In newborns, jaundice is detected by blanching the skin with digital pressure so that it reveals underlying skin and subcutaneous tissue. Jaundiced newborns have an apparent icteric sclera, and yellowing of the face, extending down onto the chest. ","['Hematologic tests (Blood test)', 'Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Rectal examination', 'Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures', 'Examination of foot']","['Hepatitis B Vaccine (Obsolete)', 'Erythromycin Ophthalmic', 'Triple Dye Topical']",test
121,Chronic obstructive pulmonary disease (COPD),"['Cough', 'Shortness of breath', 'Nasal congestion', 'Fever', 'Sore throat', 'Difficulty breathing', 'Sharp chest pain', 'Coryza', 'Wheezing', 'Coughing up sputum', 'Congestion in chest', 'Chest tightness']","Chronic obstructive pulmonary disease (COPD), also known as chronic obstructive lung disease (COLD), chronic obstructive airway disease (COAD), chronic airflow limitation (CAL) and chronic obstructive respiratory disease (CORD), is the occurrence of chronic bronchitis or emphysema, a pair of commonly co-existing diseases of the lungs in which the airways narrow over time. This limits airflow to and from the lungs, causing shortness of breath (dyspnea). In clinical practice, COPD is defined by its characteristically low airflow on lung function tests. In contrast to asthma, this limitation is poorly reversible and usually gets increasingly worse over time. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)']","['Azithromycin', 'Combivent', 'Tiotropium (Spiriva)', 'Ipratropium', 'Guaifenesin (Mucinex)', 'Levalbuterol (Xopenex)', 'Robitussin Ac', 'Clarithromycin', 'Benzonatate']",disease
122,Dislocation of the elbow,"['Arm pain', 'Elbow pain', 'Arm stiffness or tightness', 'Depression', 'Wrist pain', 'Arm weakness', 'Elbow swelling', 'Irritable infant', 'Arm swelling']","A joint dislocation, or luxation, occurs when there is an abnormal separation in the joint, where two or more bones meet. A partial dislocation is referred to as a subluxation. Dislocations are often caused by sudden trauma on the joint like an impact or fall. A joint dislocation can cause damage to the surrounding ligaments, tendons, muscles, and nerves. Dislocations can occur in any joint major (Shoulder, knees, etc.) or minor (toes, fingers, etc.). The most common joint dislocation is a shoulder dislocation. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Physical therapy exercises (Exercises)', 'Orthopedic casting', 'Treatment; fracture or dislocation of radius and ulna']","['Ketamine', 'Propofol', 'Atropine (Uaa)']",disease
123,Spondylosis,"['Low back pain', 'Back pain', 'Neck pain', 'Leg pain', 'Hip pain', 'Shoulder pain', 'Arm pain', 'Loss of sensation', 'Ache all over', 'Knee pain', 'Lower body pain', 'Paresthesia']","Spondylosis is a term referring to degenerative osteoarthritis of the joints between the centre of the spinal vertebrae and/or neural foraminae. If this condition occurs in the zygapophysial joints, it can be considered facet syndrome. If severe, it may cause pressure on nerve roots with subsequent sensory and/or motor disturbances, such as pain, paresthesia, or muscle weakness in the limbs. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Insertion of catheter or spinal stimulator and injection into spinal canal', 'Other therapeutic procedures', 'Other diagnostic procedures (interview; evaluation; consultation)']","['Bupivacaine', 'Tizanidine', 'Nabumetone', 'Ropivacaine', 'Piroxicam', 'Oxymorphone (Opana)', 'Ketoprofen', 'Etanercept (Enbrel)', 'Iopamidol (Isovue)', 'Pitcher Plant', 'Riboflavin']",disease
124,Herpangina,"['Fever', 'Skin rash', 'Sore throat', 'Vomiting', 'Mouth ulcer', 'Decreased appetite', 'Cough', 'Insomnia', 'Abnormal appearing skin', 'Tongue lesions', 'Swollen lymph nodes', 'Redness in ear']","Herpangina, also called mouth blisters, is the name of a painful mouth infection caused by coxsackieviruses. Usually, herpangina is produced by one particular strain of coxsackie virus A (and the term ""herpangina virus"" refers to coxsackievirus A) but it can also be caused by coxsackievirus B or echoviruses. Most cases of herpangina occur in the summer, affecting mostly children. However, it occasionally occurs in adolescents and adults. It was first characterized in 1920. ","['Complete physical skin exam performed (ML)', 'Blood culture']","['Factor Ix Complex (Obsolete)', 'Phenol Topical', 'Benzocaine Topical', 'Cholecalciferol']",disease
125,Injury to the shoulder,"['Shoulder pain', 'Arm pain', 'Neck pain', 'Back pain', 'Elbow pain', 'Shoulder stiffness or tightness', 'Lower body pain', 'Arm stiffness or tightness', 'Shoulder swelling', 'Bones are painful', 'Arm weakness', 'Muscle cramps, contractures, or spasms']","Your shoulder joint is composed of three bones: the clavicle (collarbone), the scapula (shoulder blade), and the humerus (upper arm bone). Your shoulders are the most movable joints in your body. They can also be unstable because the ball of the upper arm is larger than the shoulder socket that holds it. To remain in a stable or normal position, the shoulder must be anchored by muscles, tendons and ligaments. Because the shoulder can be unstable, it is the site of many common problems. They include sprains, strains, dislocations, separations, tendinitis, bursitis, torn rotator cuffs, frozen shoulder, fractures and arthritis. Usually shoulder problems are treated with RICE. This stands for Rest, Ice, Compression and Elevation. Other treatments include exercise, medicines to reduce pain and swelling, and surgery if other treatments don\'t work. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Application of splint (Splinting)', 'Other therapeutic procedures', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Ketoprofen', 'Diclofenac Topical Product', 'Alfentanil', 'Daunorubicin', 'Tolazamide', 'Cisatracurium (Nimbex)']",disease
126,Poisoning due to antidepressants,"['Depression', 'Disturbance of memory', 'Drug abuse', 'Headache', 'Sleepiness', 'Abusing alcohol', 'Allergic reaction', 'Weakness', 'Fainting', 'Muscle pain', 'Emotional symptoms', 'Back weakness']"," sodium bicarbonate, ","['Hematologic tests (Blood test)', 'Electrocardiogram', 'Complete blood count (Cbc)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement', 'Urinalysis', 'Toxicology screen']","['Charcoal', 'Sodium Bicarbonate', 'Naloxone (Suboxone)', 'Sodium Salicylate', 'Sorbitol', 'Flumazenil', 'Norepinephrine', 'Vecuronium', 'Nicotine', 'Clotrimazole Topical', 'Mecamylamine']",medication
127,Infection of open wound,"['Abnormal appearing skin', 'Leg pain', 'Fever', 'Hand or finger swelling', 'Skin lesion', 'Skin on arm or hand looks infected', 'Leg swelling', 'Chills', 'Fluid retention', 'Insomnia', 'Decreased appetite', 'Skin swelling']","Infection is the invasion of a host organism\'s bodily tissues by disease-causing organisms, their multiplication, and the reaction of host tissues to these organisms and the toxins they produce. Infections are caused by microorganisms such as viruses, prions, bacteria, and viroids, and larger organisms like macroparasites and fungi. ","['Wound care management', 'Hematologic tests (Blood test)', 'Complete physical skin exam performed (ML)', 'Glucose measurement (Glucose level)', 'Blood culture', 'Culture wound', 'Traction; splints; and other wound care']","['Cephalexin', 'Clindamycin', 'Vancomycin', 'Cefazolin', 'Bacitracin (Septa)', 'Clarithromycin', 'Silver Sulfadiazine Topical', 'Trandolapril', 'Exenatide (Byetta)', 'Etodolac', 'Miglitol (Glyset)']",disease
128,Deep vein thrombosis (DVT),"['Leg pain', 'Leg swelling', 'Abnormal appearing skin', 'Peripheral edema', 'Arm swelling', 'Paresthesia', 'Foot or toe swelling', 'Ankle swelling', 'Leg stiffness or tightness', 'Leg cramps or spasms', 'Leg lump or mass', 'Disturbance of smell or taste']","Deep vein thrombosis, or deep venous thrombosis, (DVT) is the formation of a blood clot (thrombus) in a deep vein, predominantly in the legs. Non-specific signs may include pain, swelling, redness, warmness, and engorged superficial veins. Pulmonary embolism, a potentially life-threatening complication, is caused by the detachment (embolization) of a clot that travels to the lungs. Together, DVT and pulmonary embolism constitute a single disease process known as venous thromboembolism. Post-thrombotic syndrome, another complication, significantly contributes to the health-care cost of DVT. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Warfarin', 'Enoxaparin (Lovenox)', 'Heparin', 'Dalteparin (Fragmin)', 'Fondaparinux (Arixtra)', 'Goserelin (Zoladex)', 'Salsalate', 'Pyridostigmine (Mestinon)', 'Ichthammol Topical', 'Eltrombopag (Promacta)', 'Nystatin-Triamcinolone Topical', 'Ixabepilone (Ixempra)']",disease
129,Protein deficiency,"['Weakness', 'Nausea', 'Vomiting', 'Decreased appetite', 'Ache all over', 'Fatigue', 'Depression', 'Dizziness', 'Shortness of breath', 'Sharp abdominal pain', 'Constipation', 'Smoking problems']","Proteins are essential nutrients for the human body. They are one of the building blocks of body tissue, and can also serve as a fuel source. As fuel, proteins contain 4 kcal per gram, just like carbohydrates and unlike lipids, which contain 9 kcal per gram. ","['Hematologic tests (Blood test)', 'Urinalysis', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Psychotherapy']","['Polyethylene Glycol 3350 (Miralax)', 'Ursodiol (Urso)', 'Paclitaxel (Taxol)', 'Thiamine', 'Potassium Chloride', 'Tiotropium (Spiriva)', 'Mupirocin Topical', 'Amifostine', 'Fondaparinux (Arixtra)', 'Docetaxel', 'Papain-Urea Topical', 'Cetuximab (Erbitux)']",test
